date|consumption|dpi|unemp
1950 Q1|1058.9|1186.1|6.4
1950 Q2|1075.9|1178.1|5.6
1950 Q3|1131|1196.5|4.6
1950 Q4|1097.6|1210|4.2
1951 Q1|1122.8|1207.9|3.5
1951 Q2|1091.4|1225.8|3.1
1951 Q3|1103.9|1235.8|3.2
1951 Q4|1110.5|1238.5|3.4
1952 Q1|1113.6|1238.5|3.1
1952 Q2|1135.1|1252|3
1952 Q3|1140.4|1276.1|3.2
1952 Q4|1180.5|1300.5|2.8
1953 Q1|1194.9|1317.5|2.7
1953 Q2|1202.5|1336.3|2.6
1953 Q3|1199.8|1330.2|2.7
1953 Q4|1191.8|1325.9|3.7
1954 Q1|1196.2|1330.3|5.3
1954 Q2|1211.3|1327.9|5.8
1954 Q3|1227.3|1344.2|6
1954 Q4|1252.6|1373.6|5.3
1955 Q1|1280.1|1392.7|4.7
1955 Q2|1304.3|1423.3|4.4
1955 Q3|1320.3|1451.1|4.1
1955 Q4|1336.7|1468.1|4.2
1956 Q1|1339.2|1480.9|4
1956 Q2|1343.7|1497.8|4.2
1956 Q3|1346.8|1504.1|4.1
1956 Q4|1365.3|1526.5|4.1
1957 Q1|1374.2|1527.5|3.9
1957 Q2|1376.5|1538.6|4.1
1957 Q3|1387.7|1548.7|4.2
1957 Q4|1388.8|1543.1|4.9
1958 Q1|1370.1|1524.7|6.3
1958 Q2|1380.9|1534.1|7.4
1958 Q3|1402.3|1568.1|7.3
1958 Q4|1418.8|1588|6.4
1959 Q1|1445.2|1599.5|5.8
1959 Q2|1468.2|1629.6|5.1
1959 Q3|1483.8|1627|5.3
1959 Q4|1485.6|1639.2|5.6
1960 Q1|1499.2|1657.7|5.1
1960 Q2|1518.1|1666.5|5.2
1960 Q3|1512.1|1667.7|5.5
1960 Q4|1513.5|1667.2|6.3
1961 Q1|1512.8|1680.6|6.8
1961 Q2|1535.2|1705.4|7
1961 Q3|1542.9|1729.4|6.8
1961 Q4|1574.2|1764.4|6.2
1962 Q1|1590.6|1777.9|5.6
1962 Q2|1609.9|1799.3|5.5
1962 Q3|1622.9|1811.4|5.6
1962 Q4|1645.9|1825.5|5.5
1963 Q1|1657.1|1838.9|5.8
1963 Q2|1673|1857.2|5.7
1963 Q3|1695.7|1879.2|5.5
1963 Q4|1710|1910.5|5.6
1964 Q1|1743.8|1947.6|5.5
1964 Q2|1775|1999.4|5.2
1964 Q3|1807.8|2027.8|5
1964 Q4|1812.8|2052.6|5
1965 Q1|1852.5|2071.8|4.9
1965 Q2|1873.2|2096.4|4.7
1965 Q3|1905.3|2155.3|4.4
1965 Q4|1959.3|2200.4|4.1
1966 Q1|1988.6|2219.3|3.9
1966 Q2|1994|2224.6|3.8
1966 Q3|2016.6|2254|3.8
1966 Q4|2025.1|2280.5|3.7
1967 Q1|2037.3|2312.6|3.8
1967 Q2|2064.6|2329.9|3.8
1967 Q3|2075.2|2351.4|3.8
1967 Q4|2087.9|2367.9|3.9
1968 Q1|2136.2|2409.5|3.7
1968 Q2|2169.6|2451.2|3.6
1968 Q3|2210.7|2457.9|3.5
1968 Q4|2220.4|2474.3|3.4
1969 Q1|2244.8|2477.5|3.4
1969 Q2|2258.8|2501.5|3.4
1969 Q3|2269|2550.2|3.6
1969 Q4|2286.5|2568.1|3.6
1970 Q1|2300.8|2581.9|4.2
1970 Q2|2312|2626|4.8
1970 Q3|2332.2|2661.1|5.2
1970 Q4|2324.9|2650.9|5.8
1971 Q1|2369.8|2703.5|5.9
1971 Q2|2391.4|2742.6|5.9
1971 Q3|2409.8|2752.9|6
1971 Q4|2449.8|2782.1|5.9
1972 Q1|2482.2|2797.6|5.8
1972 Q2|2527.5|2822.9|5.7
1972 Q3|2565.9|2883.6|5.6
1972 Q4|2626.3|2993|5.4
1973 Q1|2674.2|3031.9|4.9
1973 Q2|2671.4|3059.6|4.9
1973 Q3|2682.5|3079.3|4.8
1973 Q4|2675.6|3118.3|4.8
